support	itemsets
0.003	frozenset({'PReNet', 'RePEN', 'DeepSAD', 'RCA', 'DevNet', 'ICL'})
0.003	frozenset({'RoSAS', 'DevNet', 'RePEN', 'RCA'})
0.003	frozenset({'DeepSVDD', 'NeuTraL', 'SLAD', 'GOAD', 'Success'})
0.003	frozenset({'Success', 'PReNet', 'RePEN', 'DeepSAD', 'RCA', 'DevNet', 'ICL'})
0.003	frozenset({'SLAD', 'GOAD', 'NeuTraL', 'DeepSVDD'})
0.003	frozenset({'RCA', 'RoSAS', 'DeepSAD'})
0.003	frozenset({'SLAD', 'GOAD', 'RoSAS', 'DeepSVDD'})
0.003	frozenset({'SLAD', 'DeepSVDD', 'ICL'})
0.003	frozenset({'PReNet', 'DeepSVDD', 'RCA'})
0.003	frozenset({'PReNet', 'Success', 'DeepSVDD', 'RCA'})
0.003	frozenset({'SLAD', 'DevNet', 'RePEN'})
0.003	frozenset({'PReNet', 'DeepSVDD'})
0.003	frozenset({'PReNet', 'Success', 'DeepSVDD'})
0.003	frozenset({'PReNet', 'SLAD', 'DeepSAD'})
0.0025	frozenset({'GOAD', 'RePEN', 'RCA'})
0.0025	frozenset({'RoSAS', 'NeuTraL', 'DeepSVDD'})
0.0025	frozenset({'PReNet', 'Success', 'DeepSVDD', 'DeepSAD'})
0.0025	frozenset({'RoSAS', 'DeepSVDD', 'SLAD', 'GOAD', 'Success'})
0.0025	frozenset({'SLAD', 'ICL', 'RCA'})
0.0025	frozenset({'GOAD', 'RoSAS', 'Success', 'ICL'})
0.0025	frozenset({'RoSAS', 'DevNet', 'RePEN', 'DeepSAD', 'Success'})
0.0025	frozenset({'SLAD', 'GOAD', 'RCA'})
0.0025	frozenset({'SLAD', 'GOAD', 'Success', 'RCA'})
0.0025	frozenset({'DeepSVDD', 'PReNet', 'DeepSAD', 'RCA', 'Success'})
0.0025	frozenset({'PReNet', 'RoSAS', 'NeuTraL'})
0.0025	frozenset({'SLAD', 'ICL', 'DeepSAD'})
0.0025	frozenset({'GOAD', 'RoSAS', 'ICL'})
0.0025	frozenset({'SLAD', 'ICL', 'Success', 'RCA'})
0.0025	frozenset({'Success', 'GOAD', 'RePEN', 'RCA'})
0.0025	frozenset({'PReNet', 'DeepSVDD', 'DeepSAD'})
0.0025	frozenset({'RoSAS', 'DevNet', 'DeepSAD', 'RCA', 'Success'})
0.0025	frozenset({'GOAD', 'Success', 'RCA'})
0.0025	frozenset({'RCA', 'RoSAS', 'DevNet', 'DeepSAD'})
0.0025	frozenset({'SLAD', 'GOAD', 'RePEN', 'RCA'})
0.0025	frozenset({'Quartile', 'Success', 'DeepSAD'})
0.0025	frozenset({'RoSAS', 'DevNet', 'RePEN', 'DeepSAD'})
0.0025	frozenset({'DevNet', 'ICL', 'NeuTraL', 'DeepSAD'})
0.0025	frozenset({'RePEN', 'RCA', 'SLAD', 'GOAD', 'Success'})
0.0025	frozenset({'Success', 'RoSAS', 'RePEN', 'DeepSAD'})
0.0025	frozenset({'DevNet', 'DeepSAD', 'NeuTraL', 'Success', 'ICL'})
0.0025	frozenset({'DevNet', 'PReNet', 'DeepSAD', 'SLAD', 'Success'})
0.0025	frozenset({'Quartile', 'DeepSAD'})
0.0025	frozenset({'PReNet', 'SLAD', 'DevNet', 'DeepSAD'})
0.0025	frozenset({'PReNet', 'RoSAS', 'NeuTraL', 'Success'})
0.0025	frozenset({'RoSAS', 'RePEN', 'DeepSAD'})
0.0025	frozenset({'GOAD', 'RCA'})
0.0025	frozenset({'Success', 'RoSAS', 'NeuTraL', 'DeepSVDD'})
0.0025	frozenset({'RCA', 'PReNet', 'DeepSVDD', 'DeepSAD'})
0.002	frozenset({'SLAD', 'ICL', 'Success', 'DeepSAD'})
0.002	frozenset({'Quartile', 'RePEN', 'DeepSAD'})
0.002	frozenset({'Success', 'DeepSVDD', 'PReNet', 'RePEN', 'RCA', 'DevNet'})
0.002	frozenset({'Success', 'Z_score', 'DeepSVDD', 'RCA'})
0.002	frozenset({'DeepSVDD', 'PReNet', 'RePEN', 'RCA', 'DevNet'})
0.002	frozenset({'Quartile', 'Z_score', 'DeepSVDD'})
0.002	frozenset({'DeepSVDD', 'PReNet', 'RePEN', 'DeepSAD', 'RCA', 'Success'})
0.002	frozenset({'Quartile', 'Z_score', 'RCA'})
0.002	frozenset({'PReNet', 'RoSAS', 'RCA'})
0.002	frozenset({'PReNet', 'RoSAS', 'DevNet', 'ICL'})
0.002	frozenset({'DeepSVDD', 'PReNet', 'RePEN', 'DeepSAD', 'RCA', 'DevNet'})
0.002	frozenset({'Z_score', 'Success', 'RCA'})
0.002	frozenset({'DeepSVDD', 'PReNet', 'RePEN', 'DeepSAD', 'RCA'})
