support	itemsets
0.008	frozenset({'Quartile', 'DeepSVDD', 'RCA', 'Z_score'})
0.008	frozenset({'Quartile', 'RCA', 'DeepSVDD', 'DevNet', 'RePEN', 'Success', 'DeepSAD'})
0.008	frozenset({'Success', 'DeepSVDD', 'RCA', 'Z_score'})
0.008	frozenset({'RCA', 'DevNet', 'RePEN', 'Success', 'DeepSAD'})
0.008	frozenset({'RePEN', 'DeepSVDD', 'DevNet', 'Z_score'})
0.008	frozenset({'Quartile', 'RCA', 'RePEN', 'Z_score', 'DevNet'})
0.008	frozenset({'DeepSVDD', 'RePEN', 'Success', 'Z_score', 'DevNet'})
0.008	frozenset({'RCA', 'RePEN', 'Success', 'Z_score', 'DevNet'})
0.008	frozenset({'RePEN', 'DeepSVDD', 'DevNet', 'DeepSAD'})
0.008	frozenset({'Quartile', 'RCA', 'RePEN', 'Success', 'Z_score', 'DevNet'})
0.008	frozenset({'Quartile', 'DeepSVDD', 'RePEN', 'Z_score', 'DevNet'})
0.008	frozenset({'DeepSVDD', 'DevNet', 'RePEN', 'Success', 'DeepSAD'})
0.008	frozenset({'DeepSVDD', 'DevNet', 'Success', 'Z_score'})
0.008	frozenset({'Quartile', 'DeepSVDD', 'Success', 'Z_score'})
0.008	frozenset({'Quartile', 'DeepSVDD', 'DevNet', 'RePEN', 'Success', 'DeepSAD'})
0.008	frozenset({'Quartile', 'RCA', 'DeepSVDD', 'RePEN', 'Success', 'Z_score'})
0.008	frozenset({'RePEN', 'Success', 'RCA', 'Z_score'})
0.008	frozenset({'Quartile', 'DevNet', 'DeepSAD', 'RCA'})
0.008	frozenset({'Success', 'DevNet', 'DeepSAD', 'RCA'})
0.008	frozenset({'ICL', 'Success', 'NeuTraL', 'DeepSAD'})
0.008	frozenset({'Success', 'DevNet', 'RCA', 'PReNet'})
0.008	frozenset({'Quartile', 'RCA', 'DeepSVDD', 'DevNet', 'Success', 'DeepSAD'})
0.008	frozenset({'Quartile', 'DevNet', 'RCA', 'Z_score'})
0.008	frozenset({'Success', 'DevNet', 'RCA', 'Z_score'})
0.008	frozenset({'Success', 'Quartile', 'DevNet', 'DeepSAD'})
0.008	frozenset({'RePEN', 'Quartile', 'Success', 'Z_score'})
0.008	frozenset({'RePEN', 'DevNet', 'Success', 'Z_score'})
0.008	frozenset({'RCA', 'DeepSVDD', 'RePEN', 'Success', 'Z_score', 'DevNet'})
0.008	frozenset({'RePEN', 'Quartile', 'DevNet', 'Z_score'})
0.008	frozenset({'RePEN', 'Success', 'DevNet', 'DeepSAD'})
0.008	frozenset({'RePEN', 'Quartile', 'DevNet', 'DeepSAD'})
0.008	frozenset({'Quartile', 'DeepSVDD', 'DevNet', 'Success', 'DeepSAD'})
0.008	frozenset({'ICL', 'Success', 'DeepSAD', 'PReNet'})
0.008	frozenset({'Quartile', 'DevNet', 'Success', 'Z_score'})
0.008	frozenset({'RCA', 'DeepSVDD', 'Success', 'Z_score', 'DevNet'})
0.008	frozenset({'Quartile', 'RePEN', 'Success', 'Z_score', 'DevNet'})
0.008	frozenset({'Quartile', 'RCA', 'DeepSVDD', 'Z_score', 'DevNet'})
0.008	frozenset({'RePEN', 'DevNet', 'DeepSAD', 'RCA'})
0.008	frozenset({'RCA', 'DeepSVDD', 'DevNet', 'Success', 'DeepSAD'})
0.008	frozenset({'RePEN', 'DevNet', 'RCA', 'Z_score'})
0.008	frozenset({'Quartile', 'DevNet', 'RePEN', 'Success', 'DeepSAD'})
0.008	frozenset({'Quartile', 'RCA', 'DeepSVDD', 'DevNet', 'DeepSAD'})
0.008	frozenset({'RCA', 'DeepSVDD', 'RePEN', 'Success', 'Z_score'})
0.008	frozenset({'PReNet', 'NeuTraL', 'Success', 'ICL', 'DeepSAD'})
0.008	frozenset({'RCA', 'DeepSVDD', 'DevNet', 'RePEN', 'DeepSAD'})
0.008	frozenset({'Quartile', 'RCA', 'DeepSVDD', 'Success', 'Z_score', 'DevNet'})
0.008	frozenset({'Quartile', 'RCA', 'DeepSVDD', 'RePEN', 'Z_score'})
0.008	frozenset({'Quartile', 'RCA', 'DeepSVDD', 'DevNet', 'RePEN', 'DeepSAD'})
0.008	frozenset({'RCA', 'DeepSVDD', 'DevNet', 'RePEN', 'Success', 'DeepSAD'})
0.008	frozenset({'RePEN', 'Quartile', 'RCA', 'Z_score'})
0.008	frozenset({'Quartile', 'RCA', 'DeepSVDD', 'RePEN', 'Z_score', 'DevNet'})
0.008	frozenset({'RCA', 'DeepSVDD', 'RePEN', 'Z_score', 'DevNet'})
0.008	frozenset({'Quartile', 'DeepSVDD', 'Success', 'Z_score', 'DevNet'})
0.008	frozenset({'Success', 'Quartile', 'RCA', 'Z_score'})
0.008	frozenset({'DeepSVDD', 'DevNet', 'RCA', 'Z_score'})
0.008	frozenset({'ICL', 'RoSAS', 'GOAD', 'Success'})
0.008	frozenset({'Success', 'Z_score'})
0.008	frozenset({'DevNet', 'RCA', 'Z_score'})
0.008	frozenset({'DeepSVDD', 'Z_score'})
0.008	frozenset({'DevNet', 'DeepSAD'})
0.008	frozenset({'Quartile', 'RCA', 'Z_score'})
0.008	frozenset({'Success', 'RCA', 'Z_score'})
0.008	frozenset({'Quartile', 'Z_score'})
0.008	frozenset({'Quartile', 'Success', 'Z_score'})
0.008	frozenset({'DeepSVDD', 'DevNet', 'Z_score'})
0.008	frozenset({'DeepSVDD', 'DevNet', 'DeepSAD'})
0.008	frozenset({'RePEN', 'DevNet', 'DeepSAD'})
0.008	frozenset({'Z_score'})
0.008	frozenset({'RePEN', 'DevNet', 'Z_score'})
0.008	frozenset({'DevNet', 'Success', 'Z_score'})
0.008	frozenset({'ICL', 'DeepSVDD', 'RCA'})
0.008	frozenset({'RePEN', 'RoSAS', 'Success'})
0.008	frozenset({'DevNet', 'Z_score'})
0.008	frozenset({'RePEN', 'Quartile', 'Z_score'})
0.008	frozenset({'RePEN', 'Success', 'Z_score'})
0.008	frozenset({'Quartile', 'DevNet', 'Z_score'})
0.008	frozenset({'Success', 'DevNet', 'DeepSAD'})
0.008	frozenset({'Quartile', 'DevNet', 'DeepSAD'})
0.008	frozenset({'DeepSVDD', 'RoSAS', 'RCA'})
0.008	frozenset({'DeepSVDD', 'RCA', 'Z_score'})
0.008	frozenset({'RePEN', 'ICL', 'DeepSVDD'})
0.008	frozenset({'DevNet', 'RCA', 'PReNet'})
0.008	frozenset({'RePEN', 'DeepSVDD', 'Z_score'})
0.008	frozenset({'DevNet', 'DeepSAD', 'RCA'})
0.008	frozenset({'DeepSVDD', 'DevNet', 'DeepSAD', 'RCA'})
0.008	frozenset({'RCA', 'Z_score'})
0.008	frozenset({'Quartile', 'DeepSVDD', 'Z_score'})
0.008	frozenset({'DeepSVDD', 'Success', 'Z_score'})
0.008	frozenset({'RePEN', 'RoSAS'})
0.008	frozenset({'RePEN', 'DeepSVDD', 'RCA', 'Z_score'})
0.008	frozenset({'ICL', 'Success', 'DeepSVDD', 'RCA'})
0.008	frozenset({'ICL', 'Success', 'RCA'})
0.008	frozenset({'RePEN', 'Z_score'})
0.008	frozenset({'ICL', 'RoSAS', 'GOAD'})
0.008	frozenset({'RePEN', 'RCA', 'Z_score'})
0.006	frozenset({'RePEN', 'NeuTraL', 'RCA'})
0.006	frozenset({'NeuTraL', 'Success', 'RCA', 'PReNet'})
0.006	frozenset({'RCA', 'PReNet', 'NeuTraL', 'DeepSVDD', 'RePEN', 'DeepSAD'})
0.006	frozenset({'ICL', 'NeuTraL', 'DeepSVDD'})
0.006	frozenset({'PReNet', 'DeepSVDD', 'RePEN', 'Success', 'ICL'})
0.006	frozenset({'RCA', 'PReNet', 'NeuTraL', 'RePEN', 'Success', 'DeepSAD'})
0.006	frozenset({'NeuTraL', 'PReNet', 'DeepSAD', 'RCA'})
0.006	frozenset({'NeuTraL', 'Success', 'DeepSAD', 'RCA'})
0.006	frozenset({'RCA', 'NeuTraL', 'DeepSVDD', 'RePEN', 'DeepSAD'})
0.006	frozenset({'ICL', 'DeepSVDD', 'DeepSAD'})
0.006	frozenset({'DeepSVDD', 'RePEN', 'Success', 'ICL', 'DeepSAD'})
0.006	frozenset({'PReNet', 'DeepSVDD', 'RePEN', 'ICL', 'DeepSAD'})
0.006	frozenset({'RCA', 'PReNet', 'NeuTraL', 'DeepSVDD', 'RePEN'})
0.006	frozenset({'RCA', 'NeuTraL', 'DeepSVDD', 'RePEN', 'Success'})
0.006	frozenset({'NeuTraL', 'DeepSVDD', 'RePEN', 'ICL', 'DeepSAD'})
0.006	frozenset({'RePEN', 'NeuTraL', 'ICL', 'DeepSAD'})
0.006	frozenset({'NeuTraL', 'SLAD', 'Success'})
0.006	frozenset({'RCA', 'PReNet', 'DeepSVDD', 'RePEN', 'DevNet'})
0.006	frozenset({'NeuTraL', 'DeepSVDD', 'RePEN', 'Success', 'ICL'})
0.006	frozenset({'PReNet', 'NeuTraL', 'DeepSVDD', 'RePEN', 'ICL'})
0.006	frozenset({'RePEN', 'NeuTraL', 'ICL', 'Success'})
0.006	frozenset({'RePEN', 'NeuTraL', 'ICL', 'PReNet'})
0.006	frozenset({'NeuTraL', 'Success', 'RCA'})
