support	itemsets
0.004	frozenset({'Success', 'PReNet', 'ICL', 'RCA', 'RePEN'})
0.004	frozenset({'DeepSAD', 'ICL', 'RCA', 'DeepSVDD', 'RePEN'})
0.004	frozenset({'RCA', 'Quartile'})
0.004	frozenset({'DevNet', 'RePEN', 'PReNet', 'ICL'})
0.004	frozenset({'Quartile', 'Success'})
0.004	frozenset({'DeepSAD', 'RePEN', 'DevNet', 'ICL'})
0.004	frozenset({'RCA', 'RePEN', 'PReNet', 'ICL'})
0.004	frozenset({'DeepSAD', 'Success', 'DevNet', 'ICL', 'RePEN'})
0.0035	frozenset({'DeepSAD', 'RCA', 'DevNet', 'SLAD'})
0.0035	frozenset({'DevNet', 'RCA', 'Success', 'SLAD'})
0.0035	frozenset({'SLAD', 'NeuTraL', 'Success', 'ICL'})
0.0035	frozenset({'GOAD', 'RoSAS', 'DeepSVDD', 'Success'})
0.0035	frozenset({'DeepSAD', 'DevNet', 'Success', 'SLAD', 'RCA'})
0.0035	frozenset({'Quartile', 'RePEN'})
0.0035	frozenset({'NeuTraL', 'PReNet'})
0.0035	frozenset({'RCA', 'Quartile', 'RePEN', 'Success'})
0.0035	frozenset({'Success', 'NeuTraL', 'PReNet'})
0.0035	frozenset({'RCA', 'Quartile', 'RePEN'})
0.0035	frozenset({'Quartile', 'RePEN', 'Success'})
0.0035	frozenset({'DevNet', 'RCA', 'SLAD'})
0.0035	frozenset({'RCA', 'Quartile', 'Success'})
0.0035	frozenset({'NeuTraL', 'SLAD', 'ICL'})
0.0035	frozenset({'DeepSAD', 'DevNet', 'ICL', 'Success', 'RCA', 'RePEN'})
0.0035	frozenset({'DeepSAD', 'PReNet', 'DevNet', 'ICL', 'RCA'})
0.0035	frozenset({'DeepSAD', 'RoSAS', 'PReNet'})
0.0035	frozenset({'GOAD', 'RePEN', 'SLAD'})
0.0035	frozenset({'GOAD', 'Success', 'RePEN', 'SLAD'})
0.0035	frozenset({'DeepSAD', 'PReNet', 'DevNet', 'ICL', 'RCA', 'Success'})
0.0035	frozenset({'RoSAS', 'RCA', 'DevNet'})
0.0035	frozenset({'RoSAS', 'RCA', 'RePEN'})
0.0035	frozenset({'RoSAS', 'RCA', 'DevNet', 'Success'})
0.0035	frozenset({'DeepSAD', 'DevNet', 'ICL', 'RCA', 'RePEN'})
0.0035	frozenset({'GOAD', 'NeuTraL', 'Success', 'ICL'})
0.0035	frozenset({'DeepSAD', 'RoSAS', 'DevNet', 'PReNet'})
0.0035	frozenset({'DeepSAD', 'RoSAS', 'Success', 'PReNet'})
0.0035	frozenset({'DeepSAD', 'Success', 'PReNet', 'DevNet', 'RoSAS'})
0.0035	frozenset({'RoSAS', 'RCA', 'RePEN', 'Success'})
0.003	frozenset({'DeepSAD', 'DevNet', 'ICL', 'PReNet', 'RCA', 'RePEN'})
0.003	frozenset({'DeepSAD', 'RoSAS', 'RCA'})
0.003	frozenset({'DeepSVDD', 'PReNet'})
0.003	frozenset({'DeepSAD', 'DevNet', 'ICL', 'PReNet', 'RCA', 'Success', 'RePEN'})
0.003	frozenset({'RoSAS', 'RCA', 'RePEN', 'DevNet'})
0.003	frozenset({'DeepSAD', 'PReNet', 'ICL', 'Success', 'RCA', 'RePEN'})
0.003	frozenset({'SLAD', 'DeepSVDD', 'Success', 'ICL'})
0.003	frozenset({'DeepSAD', 'PReNet', 'ICL', 'RCA', 'RePEN'})
0.003	frozenset({'RCA', 'DeepSVDD', 'PReNet'})
0.003	frozenset({'Success', 'DeepSVDD', 'PReNet'})
0.003	frozenset({'GOAD', 'NeuTraL', 'DeepSVDD', 'SLAD'})
0.003	frozenset({'Success', 'SLAD', 'NeuTraL', 'DeepSVDD', 'GOAD'})
0.003	frozenset({'DeepSAD', 'RoSAS', 'Success', 'RCA'})
0.003	frozenset({'GOAD', 'RoSAS', 'DeepSVDD', 'SLAD'})
0.003	frozenset({'RCA', 'Success', 'DeepSVDD', 'PReNet'})
0.003	frozenset({'DeepSVDD', 'SLAD', 'ICL'})
0.003	frozenset({'Success', 'DevNet', 'RCA', 'RoSAS', 'RePEN'})
0.003	frozenset({'DeepSAD', 'SLAD', 'Success', 'PReNet'})
0.003	frozenset({'DeepSAD', 'PReNet', 'DevNet', 'ICL', 'Success', 'RePEN'})
0.003	frozenset({'DeepSAD', 'SLAD', 'PReNet'})
0.003	frozenset({'DeepSAD', 'Success', 'PReNet', 'ICL', 'RePEN'})
0.003	frozenset({'DeepSAD', 'PReNet', 'DevNet', 'ICL', 'RePEN'})
0.003	frozenset({'DeepSAD', 'RePEN', 'PReNet', 'ICL'})
0.003	frozenset({'DevNet', 'RePEN', 'SLAD'})
0.003	frozenset({'DevNet', 'Success', 'RePEN', 'SLAD'})
0.003	frozenset({'DeepSAD', 'DevNet', 'Success', 'SLAD', 'RePEN'})
0.003	frozenset({'DeepSAD', 'DevNet', 'RePEN', 'SLAD'})
0.0025	frozenset({'Success', 'SLAD', 'RCA', 'GOAD', 'RePEN'})
0.0025	frozenset({'DeepSAD', 'Quartile', 'Success'})
0.0025	frozenset({'DeepSAD', 'Success', 'PReNet', 'RCA', 'DeepSVDD'})
0.0025	frozenset({'DeepSAD', 'Success', 'DevNet', 'RoSAS', 'RePEN'})
0.0025	frozenset({'DeepSAD', 'RoSAS', 'RePEN', 'Success'})
0.0025	frozenset({'DeepSAD', 'RoSAS', 'RePEN', 'DevNet'})
0.0025	frozenset({'RCA', 'SLAD', 'ICL'})
0.0025	frozenset({'DeepSAD', 'DevNet', 'SLAD', 'PReNet'})
0.0025	frozenset({'DeepSAD', 'RoSAS', 'RePEN'})
0.0025	frozenset({'GOAD', 'RCA', 'SLAD'})
0.0025	frozenset({'GOAD', 'RCA', 'Success'})
0.0025	frozenset({'DeepSAD', 'Quartile'})
0.0025	frozenset({'DeepSAD', 'DevNet', 'Success', 'PReNet', 'SLAD'})
0.0025	frozenset({'RCA', 'SLAD', 'Success', 'ICL'})
0.0025	frozenset({'DeepSAD', 'DeepSVDD', 'PReNet'})
0.0025	frozenset({'GOAD', 'RoSAS', 'ICL'})
0.0025	frozenset({'RoSAS', 'Success', 'NeuTraL', 'PReNet'})
