support	itemsets
0.014	frozenset({'GOAD', 'Success', 'RePEN', 'Quartile'})
0.014	frozenset({'GOAD', 'DevNet', 'DeepSVDD', 'ICL'})
0.014	frozenset({'SLAD', 'GOAD', 'DeepSVDD', 'Success', 'NeuTraL'})
0.014	frozenset({'GOAD', 'NeuTraL', 'RoSAS'})
0.014	frozenset({'GOAD', 'DeepSVDD', 'RePEN', 'Quartile'})
0.014	frozenset({'SLAD', 'GOAD', 'DeepSVDD', 'Success', 'RePEN', 'NeuTraL'})
0.014	frozenset({'SLAD', 'GOAD', 'DeepSVDD', 'Success', 'RePEN'})
0.012	frozenset({'GOAD', 'DevNet', 'DeepSVDD', 'DeepSAD', 'Success', 'NeuTraL'})
0.012	frozenset({'Quartile', 'SLAD'})
0.012	frozenset({'GOAD', 'DevNet', 'DeepSAD', 'Success', 'RePEN', 'NeuTraL'})
0.012	frozenset({'GOAD', 'DevNet', 'DeepSVDD', 'DeepSAD', 'RePEN', 'Success', 'NeuTraL'})
0.012	frozenset({'PReNet', 'RoSAS'})
0.012	frozenset({'Quartile', 'PReNet'})
0.012	frozenset({'GOAD', 'DeepSVDD', 'Success', 'RePEN', 'Quartile', 'NeuTraL'})
0.012	frozenset({'GOAD', 'DevNet', 'DeepSVDD', 'DeepSAD', 'RePEN', 'NeuTraL'})
0.012	frozenset({'GOAD', 'DeepSVDD', 'NeuTraL', 'Quartile'})
0.012	frozenset({'GOAD', 'DevNet', 'Success', 'RePEN', 'RoSAS'})
0.012	frozenset({'GOAD', 'DeepSAD', 'Quartile', 'DeepSVDD'})
0.012	frozenset({'GOAD', 'DeepSAD', 'RePEN', 'Quartile'})
0.012	frozenset({'GOAD', 'DeepSVDD', 'DeepSAD', 'RePEN', 'Quartile'})
0.012	frozenset({'GOAD', 'DeepSVDD', 'Success', 'DeepSAD', 'Quartile'})
0.012	frozenset({'GOAD', 'DeepSAD', 'Success', 'RePEN', 'Quartile'})
0.012	frozenset({'GOAD', 'DeepSVDD', 'DeepSAD', 'RePEN', 'Quartile', 'Success'})
0.012	frozenset({'GOAD', 'NeuTraL', 'RePEN', 'Quartile'})
0.012	frozenset({'GOAD', 'DevNet', 'DeepSVDD', 'Success', 'RePEN', 'NeuTraL'})
0.012	frozenset({'GOAD', 'Success', 'NeuTraL', 'Quartile'})
0.012	frozenset({'GOAD', 'DeepSVDD', 'RePEN', 'Quartile', 'NeuTraL'})
0.012	frozenset({'GOAD', 'DeepSVDD', 'Success', 'Quartile', 'NeuTraL'})
0.012	frozenset({'DevNet', 'DeepSVDD', 'Success', 'RePEN', 'RoSAS'})
0.012	frozenset({'GOAD', 'DevNet', 'DeepSVDD', 'RePEN', 'RoSAS'})
0.012	frozenset({'GOAD', 'DevNet', 'DeepSVDD', 'Success', 'RePEN', 'RoSAS'})
0.012	frozenset({'PReNet', 'DeepSVDD', 'Success', 'RoSAS'})
0.012	frozenset({'DevNet', 'DeepSVDD', 'RePEN', 'RoSAS'})
0.012	frozenset({'GOAD', 'DevNet', 'RePEN', 'RoSAS'})
0.012	frozenset({'DevNet', 'Success', 'RePEN', 'RoSAS'})
0.012	frozenset({'GOAD', 'NeuTraL', 'Quartile'})
0.012	frozenset({'GOAD', 'DevNet', 'DeepSAD', 'Success', 'NeuTraL'})
0.012	frozenset({'GOAD', 'DevNet', 'DeepSAD', 'RePEN', 'NeuTraL'})
0.012	frozenset({'GOAD', 'DevNet', 'Success', 'RePEN', 'NeuTraL'})
0.012	frozenset({'GOAD', 'DevNet', 'DeepSVDD', 'DeepSAD', 'NeuTraL'})
0.012	frozenset({'GOAD', 'DevNet', 'DeepSVDD', 'Success', 'NeuTraL'})
0.012	frozenset({'DevNet', 'RePEN', 'RoSAS'})
0.012	frozenset({'GOAD', 'Success', 'RePEN', 'Quartile', 'NeuTraL'})
0.012	frozenset({'GOAD', 'DevNet', 'DeepSVDD', 'RePEN', 'NeuTraL'})
0.012	frozenset({'GOAD', 'DevNet', 'DeepSAD', 'NeuTraL'})
0.012	frozenset({'GOAD', 'DevNet', 'Success', 'NeuTraL'})
0.012	frozenset({'GOAD', 'DevNet', 'NeuTraL', 'RePEN'})
0.012	frozenset({'GOAD', 'DevNet', 'DeepSVDD', 'NeuTraL'})
0.012	frozenset({'PReNet', 'Success', 'RoSAS'})
0.012	frozenset({'GOAD', 'DevNet', 'NeuTraL'})
0.012	frozenset({'GOAD', 'DeepSAD', 'Quartile'})
0.012	frozenset({'GOAD', 'DeepSAD', 'Success', 'Quartile'})
0.012	frozenset({'PReNet', 'DeepSVDD', 'RoSAS'})
0.012	frozenset({'NeuTraL', 'DeepSAD', 'RePEN', 'RoSAS'})
0.012	frozenset({'RePEN', 'Quartile', 'PReNet'})
0.012	frozenset({'DeepSVDD', 'Success', 'Quartile', 'SLAD'})
0.012	frozenset({'DeepSVDD', 'RePEN', 'Quartile', 'SLAD'})
0.012	frozenset({'SLAD', 'Success', 'RePEN', 'Quartile', 'NeuTraL'})
